Link,Count,Outlink
https://locate.apple.com/,0,[]
https://www.apple.com,10,"['https://support.apple.com', 'https://wallet.apple.com/apple-card/setup/feature/ccs?referrer=cid%3Dapy-200-100018', 'https://tv.apple.com/movie/umc.cmc.7grdgbjdq3tiy37f4dc3yeyms?itscg=10000&itsct=atv-apl_hp-pmo_wch-CBThanksgiving-211122', 'https://tv.apple.com/movie/umc.cmc.7grdgbjdq3tiy37f4dc3yeyms?itscg=10000&itsct=atv-apl_hp-pmo_wch-CBThanksgiving-211122', 'https://support.apple.com/kb/HT211204', 'https://support.apple.com/kb/HT209218', 'https://appleid.apple.com/us/', 'https://apps.apple.com/us/app/apple-store/id375380948', 'https://investor.apple.com/', 'https://locate.apple.com/']"
https://www.apple.com/us/shop/goto/bag,55,"['https://www.apple.com/', 'https://www.apple.com/', 'https://www.apple.com/mac/', 'https://www.apple.com/ipad/', 'https://www.apple.com/iphone/', 'https://www.apple.com/watch/', 'https://www.apple.com/airpods/', 'https://www.apple.com/tv-home/', 'https://www.apple.com/services/', 'https://www.apple.com/support/', 'https://www.apple.com/', 'https://www.apple.com/mac/', 'https://www.apple.com/ipad/', 'https://www.apple.com/iphone/', 'https://www.apple.com/watch/', 'https://www.apple.com/tv/', 'https://www.apple.com/music/', 'https://www.apple.com/itunes/', 'https://www.apple.com/homepod/', 'https://www.apple.com/ipod-touch/', 'https://www.apple.com/apple-card/', 'https://www.apple.com/retail/', 'https://www.apple.com/retail/geniusbar/', 'https://www.apple.com/retail/learn/', 'https://www.apple.com/retail/learn/youth/', 'https://itunes.apple.com/us/app/apple-store/id375380948?mt=8', 'https://secure4.store.apple.com/shop/order/list', 'https://www.apple.com/education/', 'https://www.apple.com/business/', 'https://www.apple.com/retail/business/', 'https://www.apple.com/r/store/government', 'https://www.apple.com/healthcare/', 'https://www.apple.com/healthcare/apple-watch/', 'https://www.apple.com/healthcare/health-records/', 'https://www.apple.com/accessibility/', 'https://www.apple.com/education/connectED/', 'https://www.apple.com/environment/', 'https://www.apple.com/diversity/', 'https://www.apple.com/privacy/', 'https://www.apple.com/supplier-responsibility/', 'https://appleid.apple.com', 'https://secure4.store.apple.com/shop/account/home', 'https://www.apple.com/newsroom/', 'https://www.apple.com/leadership/', 'https://www.apple.com/jobs/us/', 'https://investor.apple.com', 'https://www.apple.com/compliance', 'https://www.apple.com/apple-events/', 'https://www.apple.com/contact/', 'https://www.apple.com/retail', 'https://locate.apple.com', 'https://www.apple.com/choose-your-country', 'https://www.apple.com/privacy/privacy-policy', 'https://apple.com/legal/internet-services/terms/site.html', 'https://apple.com/legal']"
https://www.apple.com,10,"['https://support.apple.com', 'https://wallet.apple.com/apple-card/setup/feature/ccs?referrer=cid%3Dapy-200-100018', 'https://tv.apple.com/movie/umc.cmc.7grdgbjdq3tiy37f4dc3yeyms?itscg=10000&itsct=atv-apl_hp-pmo_wch-CBThanksgiving-211122', 'https://tv.apple.com/movie/umc.cmc.7grdgbjdq3tiy37f4dc3yeyms?itscg=10000&itsct=atv-apl_hp-pmo_wch-CBThanksgiving-211122', 'https://support.apple.com/kb/HT211204', 'https://support.apple.com/kb/HT209218', 'https://appleid.apple.com/us/', 'https://apps.apple.com/us/app/apple-store/id375380948', 'https://investor.apple.com/', 'https://locate.apple.com/']"
https://www.apple.com/us/store,72,"['https://www.apple.com/', 'https://www.apple.com/', 'https://www.apple.com/mac/', 'https://www.apple.com/ipad/', 'https://www.apple.com/iphone/', 'https://www.apple.com/watch/', 'https://www.apple.com/airpods/', 'https://www.apple.com/tv-home/', 'https://www.apple.com/services/', 'https://www.apple.com/support/', 'https://www.apple.com/retail', 'https://www.apple.com/airpods', 'https://www.apple.com/airtag', 'https://www.apple.com/apple-tv-4k', 'https://www.apple.com/homepod-mini', 'https://www.apple.com/shop/buy-iphone/iphone-13-pro', 'https://www.apple.com/shop/buy-iphone/iphone-13', 'https://www.apple.com/today/collection/product-skills-sessions', 'https://www.apple.com/apple-one', 'https://www.apple.com/apple-pay', 'https://www.apple.com/ios/home', 'https://www.apple.com/retail/business', 'https://www.apple.com/', 'https://support.apple.com/kb/HT211204', 'https://www.apple.com/promo', 'https://www.apple.com/', 'https://support.apple.com/kb/HT211204', 'https://www.apple.com/', 'https://www.apple.com/mac/', 'https://www.apple.com/ipad/', 'https://www.apple.com/iphone/', 'https://www.apple.com/watch/', 'https://www.apple.com/tv/', 'https://www.apple.com/music/', 'https://www.apple.com/itunes/', 'https://www.apple.com/homepod/', 'https://www.apple.com/ipod-touch/', 'https://www.apple.com/apple-card/', 'https://www.apple.com/retail/', 'https://www.apple.com/retail/geniusbar/', 'https://www.apple.com/retail/learn/', 'https://www.apple.com/retail/learn/youth/', 'https://itunes.apple.com/us/app/apple-store/id375380948?mt=8', 'https://secure.store.apple.com/shop/order/list', 'https://www.apple.com/education/', 'https://www.apple.com/business/', 'https://www.apple.com/retail/business/', 'https://www.apple.com/r/store/government', 'https://www.apple.com/healthcare/', 'https://www.apple.com/healthcare/apple-watch/', 'https://www.apple.com/healthcare/health-records/', 'https://www.apple.com/accessibility/', 'https://www.apple.com/education/connectED/', 'https://www.apple.com/environment/', 'https://www.apple.com/diversity/', 'https://www.apple.com/privacy/', 'https://www.apple.com/supplier-responsibility/', 'https://appleid.apple.com', 'https://secure.store.apple.com/shop/account/home', 'https://www.apple.com/newsroom/', 'https://www.apple.com/leadership/', 'https://www.apple.com/jobs/us/', 'https://investor.apple.com', 'https://www.apple.com/compliance', 'https://www.apple.com/apple-events/', 'https://www.apple.com/contact/', 'https://www.apple.com/retail', 'https://locate.apple.com', 'https://www.apple.com/choose-your-country', 'https://www.apple.com/privacy/privacy-policy', 'https://apple.com/legal/internet-services/terms/site.html', 'https://apple.com/legal']"
https://www.apple.com/mac/,17,"['https://support.apple.com', 'https://contactretail.apple.com/?pg=COM:imac&ap=COM&c=us&l=en', 'https://apps.apple.com/us/app/macos-monterey/id1576738294', 'https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewGrouping?id=&mt=12&ls=1', 'https://one.apple.com/us?itscg=10000&itsct=one-NA-mac-tile-apl-avl-102020', 'https://tv.apple.com/channel/tvs.sbd.4000?itscg=10000&itsct=atv-0-mac_fp-tle_stm-apl-avl-191111', 'https://apps.apple.com/arcade/offers?itscg=10000&itsct=arc-0-mac_fp-promo-apl-offer-191019', 'https://support.apple.com/en-us/HT204204', 'https://support.apple.com/en-us/HT201541', 'https://support.apple.com/ios/update', 'https://support.apple.com/ios/update', 'https://support.apple.com/en-us/HT202716', 'https://support.apple.com/kb/HT211204', 'https://appleid.apple.com/us/', 'https://apps.apple.com/us/app/apple-store/id375380948', 'https://investor.apple.com/', 'https://locate.apple.com/']"
https://www.apple.com/ipad/,16,"['https://support.apple.com', 'https://one.apple.com/us?itscg=10000&itsct=one-NA-ipad-tile-apl-avl-102020', 'https://tv.apple.com/channel/tvs.sbd.4000?itscg=10000&itsct=atv-0-ipf_fp-tle_stm-apl-avl-191111', 'https://music.apple.com/deeplink?app=music&p=subscribe&at=1000l4QJ&ct=418&itscg=10000&itsct=418n', 'https://fitness.apple.com/subscribe?itscg=10000&itsct=fit-promo-ipd_fp-apl-avl-201111', 'https://support.apple.com/ios/update', 'https://support.apple.com/ios/update', 'https://support.apple.com/en-us/HT202716', 'https://support.apple.com/en-us/HT204204', 'https://support.apple.com/en-us/HT201541', 'https://support.apple.com/kb/HT211204', 'https://support.apple.com/kb/HT211204', 'https://appleid.apple.com/us/', 'https://apps.apple.com/us/app/apple-store/id375380948', 'https://investor.apple.com/', 'https://locate.apple.com/']"
https://www.apple.com/iphone/,18,"['https://support.apple.com', 'https://contactretail.apple.com/?pg=COM:iphone&ap=COM&c=us&l=en', 'https://contactretail.apple.com/?pg=COM:iphone&ap=COM&c=us&l=en', 'https://one.apple.com/us?itscg=10000&itsct=one-NA-iphone-tile-apl-avl-102020', 'https://tv.apple.com/channel/tvs.sbd.4000?itscg=10000&itsct=atv-0-iph_fp-tle_stm-apl-avl-191111', 'https://music.apple.com/deeplink?app=music&p=subscribe&at=1000l4QJ&ct=417&itscg=10000&itsct=417n', 'https://apps.apple.com/arcade/offers?itscg=10000&itsct=arc-0-iph_fp-promo-apl-offer-191019', 'https://fitness.apple.com/subscribe?itscg=10000&itsct=fit-promo-iph_fp-apl-avl-201111', 'https://support.apple.com/en-us/HT204204', 'https://support.apple.com/en-us/HT201541', 'https://support.apple.com/ios/update', 'https://support.apple.com/ios/update', 'https://support.apple.com/en-us/HT202716', 'https://support.apple.com/kb/HT211204', 'https://appleid.apple.com/us/', 'https://apps.apple.com/us/app/apple-store/id375380948', 'https://investor.apple.com/', 'https://locate.apple.com/']"
https://www.apple.com/watch/,9,"['https://support.apple.com', 'https://one.apple.com/us?itscg=10000&itsct=one-NA-watch-tile-apl-avl-102020', 'https://music.apple.com/deeplink?app=music&p=subscribe&at=1000l4QJ&ct=413&itscg=10000&itsct=413n', 'https://support.apple.com/en-us/HT207578', 'https://support.apple.com/kb/HT211204', 'https://appleid.apple.com/us/', 'https://apps.apple.com/us/app/apple-store/id375380948', 'https://investor.apple.com/', 'https://locate.apple.com/']"
https://www.apple.com/tv/,11,"['https://support.apple.com', 'https://tv.apple.com/us/show/foundation/umc.cmc.5983fipzqbicvrve6jdfep4x3', 'https://tv.apple.com?itscg=10000&itsct=pod-services-tv-apl-tvhm-21_1019', 'https://music.apple.com?itscg=10000&itsct=pod-services-music-apl-tvhm-21_1019', 'https://fitness.apple.com/us/subscribe?itscg=10000&itsct=pod-services-fitness-apl-tvhm-21_1019', 'https://apps.apple.com/arcade?itscg=10000&itsct=pod-services-arcade-apl-tvhm-21_1019', 'https://contactretail.apple.com/?pg=COM:tv-home&ap=COM&c=us&l=en', 'https://appleid.apple.com/us/', 'https://apps.apple.com/us/app/apple-store/id375380948', 'https://investor.apple.com/', 'https://locate.apple.com/']"
https://www.apple.com/music/,15,"['https://support.apple.com', 'https://tv.apple.com?itscg=10000&itsct=pod-ovp-nav-apl-ann-21_1019', 'https://music.apple.com?itscg=10000&itsct=pod-ovp-music-apl-ann-21_1019', 'https://fitness.apple.com/us/subscribe?itscg=10000&itsct=pod-services-fitness-apl-ann-21_1019', 'https://apps.apple.com/arcade?itscg=10000&itsct=pod-services-arcade-apl-ann-21_1019', 'https://news.apple.com?itscg=10000&itsct=pod-ovp-news-apl-ann-21_1019', 'https://one.apple.com?itscg=10000&itsct=pod-ovp-apple_one-apl-ann-21_1019', 'https://podcasts.apple.com?itscg=10000&itsct=pod-ovp-podcasts-apl-ann-21_1019', 'https://books.apple.com/reading-now?itscg=10000&itsct=pod-ovp-books-apl-ann-21_1019&campaign_id=AB_marcom_ownmedia_All', 'https://card.apple.com?itscg=10000&itsct=pod-ovp-apple_card-apl-ann-21_1019', 'https://support.apple.com/kb/HT211204', 'https://appleid.apple.com/us/', 'https://apps.apple.com/us/app/apple-store/id375380948', 'https://investor.apple.com/', 'https://locate.apple.com/']"
https://www.apple.com/us/shop/goto/bag,55,"['https://www.apple.com/', 'https://www.apple.com/', 'https://www.apple.com/mac/', 'https://www.apple.com/ipad/', 'https://www.apple.com/iphone/', 'https://www.apple.com/watch/', 'https://www.apple.com/airpods/', 'https://www.apple.com/tv-home/', 'https://www.apple.com/services/', 'https://www.apple.com/support/', 'https://www.apple.com/', 'https://www.apple.com/mac/', 'https://www.apple.com/ipad/', 'https://www.apple.com/iphone/', 'https://www.apple.com/watch/', 'https://www.apple.com/tv/', 'https://www.apple.com/music/', 'https://www.apple.com/itunes/', 'https://www.apple.com/homepod/', 'https://www.apple.com/ipod-touch/', 'https://www.apple.com/apple-card/', 'https://www.apple.com/retail/', 'https://www.apple.com/retail/geniusbar/', 'https://www.apple.com/retail/learn/', 'https://www.apple.com/retail/learn/youth/', 'https://itunes.apple.com/us/app/apple-store/id375380948?mt=8', 'https://secure4.store.apple.com/shop/order/list', 'https://www.apple.com/education/', 'https://www.apple.com/business/', 'https://www.apple.com/retail/business/', 'https://www.apple.com/r/store/government', 'https://www.apple.com/healthcare/', 'https://www.apple.com/healthcare/apple-watch/', 'https://www.apple.com/healthcare/health-records/', 'https://www.apple.com/accessibility/', 'https://www.apple.com/education/connectED/', 'https://www.apple.com/environment/', 'https://www.apple.com/diversity/', 'https://www.apple.com/privacy/', 'https://www.apple.com/supplier-responsibility/', 'https://appleid.apple.com', 'https://secure4.store.apple.com/shop/account/home', 'https://www.apple.com/newsroom/', 'https://www.apple.com/leadership/', 'https://www.apple.com/jobs/us/', 'https://investor.apple.com', 'https://www.apple.com/compliance', 'https://www.apple.com/apple-events/', 'https://www.apple.com/contact/', 'https://www.apple.com/retail', 'https://locate.apple.com', 'https://www.apple.com/choose-your-country', 'https://www.apple.com/privacy/privacy-policy', 'https://apple.com/legal/internet-services/terms/site.html', 'https://apple.com/legal']"
https://iforgot.apple.com/password/verify/appleid?r=1&language=US-EN,0,[]
https://www.apple.com/today/collection/product-skills-sessions?cid=Support_Home,1,['https://support.apple.com']
https://getsupport.apple.com/?caller=home&PRKEYS=,0,[]
https://apps.apple.com/us/app/apple-support/id1130498044?pt=2003&ct=support.home&mt=8&l=en,40,"['https://www.apple.com/', 'https://www.apple.com/us/shop/goto/bag', 'https://www.apple.com/us/search', 'https://www.apple.com/', 'https://www.apple.com/us/shop/goto/store', 'https://www.apple.com/mac/', 'https://www.apple.com/ipad/', 'https://www.apple.com/iphone/', 'https://www.apple.com/watch/', 'https://www.apple.com/airpods/', 'https://www.apple.com/tv-home/', 'https://www.apple.com/services/', 'https://www.apple.com/us/shop/goto/buy_accessories', 'https://support.apple.com', 'https://www.apple.com/us/search', 'https://www.apple.com/us/shop/goto/bag', 'https://www.apple.com/ios/app-store/', 'https://apps.apple.com/us/developer/apple/id284417353?mt=12', 'https://www.apple.com/legal/privacy/en-ww', 'https://apps.apple.com/story/id1538632801', 'https://itunes.apple.com/us/genre/id6002', 'https://support.apple.com', 'https://www.apple.com/legal/privacy/en-ww', 'https://support.apple.com', 'https://www.apple.com/legal/privacy/en-ww', 'https://apps.apple.com/us/story/id1286453542', 'https://apps.apple.com/us/app/itunes-remote/id284417350', 'https://apps.apple.com/us/app/keynote/id361285480', 'https://apps.apple.com/us/app/numbers/id361304891', 'https://apps.apple.com/us/app/pages/id361309726', 'https://apps.apple.com/us/app/apple-books/id364709193', 'https://apps.apple.com/us/app/apple-store/id375380948', 'https://www.apple.com/retail/', 'https://locate.apple.com/', 'https://www.apple.com/choose-country-region/', 'https://www.apple.com/legal/privacy/', 'https://www.apple.com/legal/internet-services/terms/site.html', 'https://www.apple.com/us/shop/goto/help/sales_refunds', 'https://www.apple.com/legal/', 'https://www.apple.com/sitemap/']"
https://www.apple.com/shop/trade-in,68,"['https://www.apple.com/', 'https://www.apple.com/', 'https://www.apple.com/mac/', 'https://www.apple.com/ipad/', 'https://www.apple.com/iphone/', 'https://www.apple.com/watch/', 'https://www.apple.com/airpods/', 'https://www.apple.com/tv-home/', 'https://www.apple.com/services/', 'https://www.apple.com/support/', 'https://support.apple.com/en-us/HT210216', 'https://support.apple.com/en-us/HT204505', 'https://support.apple.com/en-us/HT204350', 'https://www.apple.com/retail', 'https://www.apple.com/environment', 'https://www.apple.com', 'https://www.apple.com', 'https://www.apple.com/', 'https://support.apple.com/en-us/HT204073', 'https://support.apple.com/en-us/HT201441', 'https://support.apple.com/en-us/HT201351', 'https://support.apple.com/en-us/HT201065', 'https://support.apple.com/en-us/HT208855', 'https://www.apple.com/', 'https://www.apple.com/mac/', 'https://www.apple.com/ipad/', 'https://www.apple.com/iphone/', 'https://www.apple.com/watch/', 'https://www.apple.com/tv/', 'https://www.apple.com/music/', 'https://www.apple.com/itunes/', 'https://www.apple.com/homepod/', 'https://www.apple.com/ipod-touch/', 'https://www.apple.com/apple-card/', 'https://www.apple.com/retail/', 'https://www.apple.com/retail/geniusbar/', 'https://www.apple.com/retail/learn/', 'https://www.apple.com/retail/learn/youth/', 'https://itunes.apple.com/us/app/apple-store/id375380948?mt=8', 'https://secure.store.apple.com/shop/order/list', 'https://www.apple.com/education/', 'https://www.apple.com/business/', 'https://www.apple.com/retail/business/', 'https://www.apple.com/r/store/government', 'https://www.apple.com/healthcare/', 'https://www.apple.com/healthcare/apple-watch/', 'https://www.apple.com/healthcare/health-records/', 'https://www.apple.com/accessibility/', 'https://www.apple.com/education/connectED/', 'https://www.apple.com/environment/', 'https://www.apple.com/diversity/', 'https://www.apple.com/privacy/', 'https://www.apple.com/supplier-responsibility/', 'https://appleid.apple.com', 'https://secure.store.apple.com/shop/account/home', 'https://www.apple.com/newsroom/', 'https://www.apple.com/leadership/', 'https://www.apple.com/jobs/us/', 'https://investor.apple.com', 'https://www.apple.com/compliance', 'https://www.apple.com/apple-events/', 'https://www.apple.com/contact/', 'https://www.apple.com/retail', 'https://locate.apple.com', 'https://www.apple.com/choose-your-country', 'https://www.apple.com/privacy/privacy-policy', 'https://apple.com/legal/internet-services/terms/site.html', 'https://apple.com/legal']"
https://www.apple.com/retail/,19,"['https://support.apple.com', 'https://www.apple.com/us/shop/goto/gifts/shopping_event', 'https://www.apple.com/shop/buy-iphone/carrier-offers', 'https://www.apple.com/retail/instore-shopping-session/', 'https://www.apple.com/shop/browse/financing', 'https://www.apple.com/retail/geniusbar', 'https://www.apple.com/retail/business/', 'https://www.apple.com/today/collection/product-skills-sessions', 'https://www.apple.com/today/collection/product-skills-sessions', 'https://www.apple.com/us/shop/goto/gifts', 'https://www.apple.com/us/shop/goto/gifts', 'https://www.apple.com/us/shop/goto/gifts/shopping_event', 'https://www.apple.com/us/shop/goto/gifts/shopping_event', 'https://www.apple.com/newsroom/2020/07/apple-commits-to-be-100-percent-carbon-neutral-for-its-supply-chain-and-products-by-2030/', 'https://www.apple.com/newsroom/2020/07/apple-commits-to-be-100-percent-carbon-neutral-for-its-supply-chain-and-products-by-2030/', 'https://appleid.apple.com/us/', 'https://apps.apple.com/us/app/apple-store/id375380948', 'https://investor.apple.com/', 'https://locate.apple.com/']"
https://locate.apple.com/,0,[]
